"counter","timestamp","perfusion_index","heart_rate","hr_quality","energy_expenditure","ee_quality","local_temperature","steps_per_minute","blood_pulse_wave","barometer_temperature","heart_rate_variability","hrv_quality","object_temperature","motion_activity","respiration_rate","rr_quality","activity_classification","ac_quality","gsr_electrode","SpO2","SpO2_quality","barometer_pressure"
"444395","1542750106","0.14","64","100","31.865","100","30.81","0","2.06","29.88","76","53","32.06","0.784314","12","72","1","88","18.1083","0","0","1000"
"444396","1542750107","0.12","65","95","31.865","100","30.81","0","1.76","29.81","76","53","32.06","0.784314","12","72","1","88","17.1853","0","0","1000"
"444397","1542750108","0.12","66","93","31.865","100","30.81","0","1.74","29.81","77","53","32.06","0.784314","12","72","1","88","17.5923","0","0","999.9"
"444398","1542750109","0.1","67","90","31.865","100","30.81","0","1.74","29.81","77","53","32.06","0.784314","12","72","1","88","16.7217","0","0","1000"
"444399","1542750110","0.1","66","93","31.865","100","30.81","0","1.76","29.81","76","53","32.03","0.784314","12","72","1","88","17.1853","0","0","999.9"
"444400","1542750111","0.1","65","96","31.865","100","30.81","0","1.9","29.88","76","53","32.03","0.784314","12","72","1","89","18.5583","0","0","1000"
"444401","1542750112","0.1","64","99","31.865","100","30.81","0","1.9","29.81","76","53","32.03","0.784314","12","72","1","89","17.5923","0","0","1000"
"444402","1542750113","0.1","63","96","31.865","100","30.81","0","1.9","29.75","76","53","32.03","0.784314","12","72","1","89","17.5923","0","0","999.7"
"444403","1542750114","0.1","63","96","31.865","100","30.81","0","1.74","29.88","77","53","32.06","0.784314","13","72","1","89","17.096","0","0","1000.1"
"444404","1542750115","0.1","63","97","31.865","100","30.81","0","1.64","29.81","77","53","32.09","0.784314","13","72","1","89","17.5923","0","0","1000"
"444405","1542750116","0.1","64","98","31.865","100","30.81","0","1.62","29.81","77","53","32.06","0.784314","14","72","1","90","17.5923","0","0","999.9"
"444406","1542750117","0.1","63","97","31.865","100","30.81","0","1.52","29.88","78","53","32.06","1.17647","14","72","1","90","18.004","0","0","1000.1"
"444407","1542750118","0.1","63","98","31.865","100","30.81","0","1.5","29.81","78","53","32.06","0.784314","14","72","1","90","17.096","0","0","1000"
"444408","1542750119","0.1","64","99","31.865","100","30.81","0","1.5","29.88","78","53","32.06","0.784314","14","72","1","90","17.5923","0","0","999.9"
"444409","1542750120","0.1","63","98","31.865","100","30.81","0","1.46","29.69","78","53","32.06","0.784314","14","72","1","90","17.1853","0","0","999.5"
"444410","1542750121","0.12","63","97","31.865","100","30.81","0","1.44","29.75","78","53","32.06","0.784314","14","73","1","90","17.5923","0","0","999.8"
"444411","1542750122","0.12","63","91","31.865","100","30.81","0","1.32","29.88","78","53","32.06","0.784314","14","73","1","91","17.5923","0","0","1000.1"
"444412","1542750123","0.12","64","99","31.865","100","30.81","0","1.32","29.75","78","53","32.03","0.784314","14","73","1","91","16.6193","0","0","999.8"
"444413","1542750124","0.12","62","96","31.865","100","30.81","0","1.32","29.75","77","53","32.06","0.784314","14","73","1","91","17.096","0","0","999.7"
"444414","1542750125","0.14","62","96","31.865","100","30.81","0","1.44","29.75","77","53","32.09","0.784314","15","73","1","91","17.5923","0","0","999.8"
"444415","1542750126","0.14","62","94","31.865","100","30.81","0","1.44","29.88","78","53","32.06","0.784314","15","73","1","91","17.5923","0","0","1000.2"
"444416","1542750127","0.16","61","93","31.865","100","30.81","0","1.44","29.88","79","53","32.06","0.784314","15","72","1","91","18.004","0","0","1000"
"444417","1542750128","0.16","61","94","31.865","100","30.81","0","1.5","29.81","79","53","32.09","0.784314","15","72","1","91","17.096","0","0","999.9"
"444418","1542750129","0.16","61","94","31.865","100","30.81","0","1.5","29.81","79","53","32.09","0.784314","15","72","1","92","17.096","0","0","999.8"
"444419","1542750130","0.18","64","98","31.865","100","30.81","0","1.5","29.75","79","53","32.09","0.784314","16","73","1","92","17.096","0","0","1000"
"444420","1542750131","0.18","65","96","31.865","100","30.81","0","1.5","29.75","79","53","32.09","0.784314","16","73","1","92","17.096","0","0","999.9"
"444421","1542750132","0.18","65","94","31.865","100","30.81","0","1.62","29.81","80","53","32.09","0.784314","16","73","1","92","17.5923","0","0","1000"
"444422","1542750133","0.18","66","92","31.865","100","30.81","0","1.9","29.94","79","53","32.13","0.784314","16","73","1","92","16.7217","0","0","1000.3"
"444423","1542750134","0.18","65","95","31.865","100","30.81","0","2.02","29.81","78","53","32.09","0.784314","16","73","1","92","16.6193","0","0","1000"
"444424","1542750135","0.18","63","98","31.865","100","30.81","0","2.06","29.81","78","53","32.06","1.17647","16","73","1","92","17.5923","0","0","1000"
"444425","1542750136","0.2","62","96","31.865","100","30.81","0","2.1","29.81","79","53","32.06","0.784314","16","73","1","93","18.004","0","0","999.9"
"444426","1542750137","0.2","61","93","31.865","100","30.81","0","2.1","29.88","79","53","32.06","0.784314","17","76","1","93","17.096","0","0","1000"
"444427","1542750138","0.2","61","93","31.865","100","30.81","0","2.1","29.88","79","53","32.06","0.784314","18","75","1","93","17.4733","0","0","1000.1"
"444428","1542750139","0.2","62","94","31.865","100","30.81","0","2.22","29.69","80","53","32.06","1.17647","18","75","1","93","17.096","0","0","999.8"
"444429","1542750140","0.2","62","97","31.865","100","30.81","0","2.24","29.88","80","53","32.06","0.784314","18","75","1","93","17.096","0","0","1000.1"
"444430","1542750141","0.2","64","98","31.865","100","30.81","0","2.32","29.69","79","53","32.09","0.784314","18","75","1","93","18.004","0","0","999.6"
"444431","1542750142","0.2","65","94","31.865","100","30.81","0","2.32","29.69","80","53","32.13","0.784314","18","75","1","93","17.096","0","0","999.8"
"444432","1542750143","0.22","66","92","31.865","100","30.81","0","2.32","29.88","80","53","32.13","0.784314","18","75","1","93","17.4733","0","0","1000.3"
"444433","1542750144","0.22","66","93","31.865","100","30.81","0","2.32","29.75","80","53","32.09","0.784314","18","75","1","93","16.6193","0","0","999.8"
"444434","1542750145","0.22","65","95","31.865","100","30.81","0","2.22","29.75","80","53","32.09","0.784314","18","75","1","94","17.096","0","0","1000"
"444435","1542750146","0.22","65","94","31.865","100","30.81","0","2.1","29.88","80","53","32.09","0.784314","18","75","1","94","18.004","0","0","1000.2"
"444436","1542750147","0.22","65","96","31.865","100","30.81","0","2.06","29.75","80","53","32.06","0.784314","18","75","1","94","17.5923","0","0","999.8"
"444437","1542750148","0.22","62","94","31.865","100","30.81","0","2.06","29.75","80","53","32.06","0.784314","18","75","1","94","17.096","0","0","999.8"
"444438","1542750149","0.22","61","92","31.865","100","30.81","0","2.06","29.88","80","53","32.09","0.784314","18","75","1","94","16.6193","0","0","1000"
"444439","1542750150","0.22","63","96","31.865","100","30.81","0","2.06","29.94","79","53","32.06","1.17647","18","75","1","94","17.4733","0","0","1000.2"
"444440","1542750151","0.22","65","93","31.865","100","30.81","0","2.02","29.88","78","53","32.09","1.96078","18","75","1","94","18.004","0","0","1000.2"
"444441","1542750152","0.22","66","92","31.865","100","30.81","0","1.94","29.88","78","53","32.06","1.17647","18","75","1","94","17.4733","0","0","1000"
"444442","1542750153","0.2","67","90","31.865","100","30.81","0","1.76","29.81","78","53","32.06","1.17647","18","75","1","94","16.479","0","0","1000.1"
"444443","1542750154","0.2","67","89","31.865","100","30.81","0","1.54","29.81","78","53","32.03","1.17647","18","75","1","94","17.096","0","0","1000.1"
"444444","1542750155","0.2","67","91","31.865","100","30.81","0","1.54","29.88","78","53","32.03","1.17647","18","75","1","95","17.096","0","0","1000.2"
"444445","1542750156","0.2","70","82","31.865","100","30.81","0","1.54","29.88","78","53","32.03","1.17647","18","75","1","95","18.004","0","0","1000.1"
"444446","1542750157","0.2","72","78","31.865","100","30.81","0","1.54","29.75","78","53","32.03","0.784314","18","75","1","95","18.004","0","0","999.8"
"444447","1542750158","0.18","72","77","31.865","100","30.81","0","1.6","29.75","78","53","32.03","0.784314","19","75","1","95","16.6193","0","0","999.7"
"444448","1542750159","0.18","72","78","31.865","100","30.81","0","1.6","29.88","78","53","32.03","0.784314","19","75","1","95","16.2747","0","0","1000.2"
"444449","1542750160","0.18","72","80","31.865","100","30.81","0","1.6","29.94","78","53","32.03","0.784314","19","75","1","95","17.4733","0","0","1000.4"
"444450","1542750161","0.18","67","97","31.865","100","30.81","0","1.54","29.88","78","53","32.06","0.784314","19","75","1","95","17.5923","0","0","1000.1"
"444451","1542750162","0.18","65","96","31.865","100","30.81","0","1.4","29.94","78","53","32.09","0.784314","19","75","1","95","17.096","0","0","1000.2"
"444452","1542750163","0.18","63","91","31.865","100","30.81","0","1.46","29.75","78","53","32.06","1.96078","19","77","1","95","16.6193","0","0","999.8"
"444453","1542750164","0.18","62","88","31.865","100","30.81","0","1.46","29.81","78","53","32.06","1.17647","19","77","1","95","16.6193","0","0","1000.1"
"444454","1542750165","0.18","62","89","31.865","100","30.81","0","1.54","29.88","79","53","32.06","1.17647","19","77","1","95","17.4733","0","0","1000.2"
"444455","1542750166","0.18","63","91","31.865","100","30.81","0","1.6","29.94","79","53","32.06","0.784314","19","77","1","95","18.004","0","0","1000.4"
"444456","1542750167","0.18","63","93","31.865","100","30.81","0","1.82","29.81","79","53","32.09","0.784314","19","77","1","96","17.096","0","0","1000.1"
"444457","1542750168","0.18","65","100","31.865","100","30.81","0","1.6","29.75","79","53","32.06","0.784314","19","77","1","96","16.965","0","0","999.9"
"444458","1542750169","0.18","66","67","31.865","100","30.81","0","1.56","29.69","79","53","32.06","0.784314","19","77","1","96","16.6193","0","0","999.6"
"444459","1542750170","0.18","71","79","31.865","100","30.81","0","1.56","30","79","53","32.03","0.784314","19","77","1","96","17.096","0","0","1000.3"
"444460","1542750171","0.18","73","76","31.865","100","30.81","0","1.56","29.81","80","53","32","0.784314","19","77","1","96","17.851","0","0","999.9"
"444461","1542750172","0.18","75","71","31.865","100","30.81","0","1.6","29.88","80","53","32","0.784314","19","76","1","96","18.4183","0","0","1000.1"
"444462","1542750173","0.18","77","64","31.865","100","30.81","0","1.6","29.88","80","53","32","0.784314","19","76","1","96","16.965","0","0","1000.1"
"444463","1542750174","0.18","68","64","31.865","100","30.81","0","1.62","29.94","80","53","32","1.17647","19","76","1","96","16.965","0","0","1000.2"
"444464","1542750175","0.18","68","64","31.865","100","30.81","0","1.6","29.81","80","53","32.03","1.17647","20","76","1","96","16.6193","0","0","999.9"
"444465","1542750176","0.18","64","87","31.865","100","30.81","0","1.56","29.81","80","53","32.06","0.784314","19","78","1","96","18.004","0","0","999.9"
"444466","1542750177","0.16","64","65","31.865","100","30.81","0","1.46","29.75","80","53","32.06","1.96078","20","78","1","96","17.851","0","0","999.8"
"444467","1542750178","0.16","66","86","31.865","100","30.81","0","1.46","29.81","79","53","32.06","5.4902","19","78","1","96","16.965","0","0","1000.1"
"444468","1542750179","0.16","68","97","31.865","100","30.81","0","1.44","29.94","79","53","32.09","2.7451","19","78","1","96","16.965","0","0","1000.2"
